,Film,Year,Rotten Tomatoes Top 100,Average Rank
0,The Godfather,1972,,1
1,Citizen Kane,1941,,2
2,Casablanca,1942,,3
3,"The Godfather, Part II",1974,,4
4,Singin' in the Rain,1952,,5
5,Psycho,1960,,6
6,Rear Window,1954,,7
7,Apocalypse Now,1979,,8
8,2001: A Space Odyssey,1968,,9
9,Seven Samurai,1954,,10
10,Vertigo,1958,,11
11,Sunset Blvd,1950,,12
12,Modern Times,1936,,13
13,Lawrence of Arabia,1962,,14
14,North by Northwest,1959,,15
15,Star Wars,1977,,16
16,Parasite,2019,,17
17,Schindler's List,1993,,18
18,Lord of the Rings: The Fellowship of the Ring,2001,,19
19,Shawshank Redemption,1994,,20
20,It's a Wonderful Life,1946,,21
21,Pulp Fiction,1994,,22
22,Avengers: Endgame,2019,,23
23,City Lights,1931,,24
24,One Flew Over the Cuckoo's Nest,1975,,25
